flare_id,GOES_class,stix_start_UTC,stix_end_UTC,mwa_start_UTC,mwa_end_UTC,flare_duration_sec,overlap_percentage,projectids,obs_ids
2406030512,M1.0,2024-06-03 04:49:48.647000+00:00,2024-06-03 05:36:12.652000+00:00,2024-06-03 04:49:48.647000+00:00,2024-06-03 05:36:12.652000+00:00,2784,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1401425296, 1401425416, 1401425536, 1401425656, 1401425776, 1401425896, 1401426016, 1401426136, 1401426256, 1401426376, 1401426496, 1401426616, 1401426736, 1401426856, 1401426976, 1401427096, 1401427216, 1401427336, 1401427456, 1401427576, 1401427696, 1401427816, 1401427936, 1401428056, 1401428176]"
2406020329,C4.9,2024-06-02 03:20:40.581000+00:00,2024-06-02 03:36:04.583000+00:00,2024-06-02 03:20:40.581000+00:00,2024-06-02 03:36:04.583000+00:00,924,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1401333616, 1401333736, 1401333856, 1401333976, 1401334096, 1401334216, 1401334336, 1401334456, 1401334576]"
2209230355,C3.6,2022-09-23 03:45:45.947000+00:00,2022-09-23 04:00:49.948000+00:00,2022-09-23 03:45:45.947000+00:00,2022-09-23 04:00:49.948000+00:00,904,100,"['G0002', 'G0002', 'G0002', 'G0002']","[1347939904, 1347940200, 1347940496, 1347940792]"
2405130632,C3.6,2024-05-13 06:32:00.062000+00:00,2024-05-13 06:33:12.062000+00:00,2024-05-13 06:32:00.062000+00:00,2024-05-13 06:33:12.062000+00:00,72,100,['G0002'],[1399617016]
2208310412,C3.2,2022-08-31 03:51:39.673000+00:00,2022-08-31 04:31:07.677000+00:00,2022-08-31 03:51:39.673000+00:00,2022-08-31 04:31:07.677000+00:00,2368,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1345953000, 1345953296, 1345953592, 1345953888, 1345954184, 1345954480, 1345954776, 1345955072, 1345955368]"
2406010607,C3.1,2024-06-01 06:05:04.642000+00:00,2024-06-01 06:19:32.644000+00:00,2024-06-01 06:05:04.642000+00:00,2024-06-01 06:19:32.644000+00:00,868,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1401257056, 1401257176, 1401257296, 1401257416, 1401257536, 1401257656, 1401257776, 1401257896]"
2406030242,C3.1,2024-06-03 02:05:36.630000+00:00,2024-06-03 03:01:20.636000+00:00,2024-06-03 02:05:36.630000+00:00,2024-06-03 03:01:20.636000+00:00,3344,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1401415456, 1401415576, 1401415696, 1401415816, 1401415936, 1401416056, 1401416176, 1401416296, 1401416416, 1401416536, 1401416656, 1401416776, 1401416896, 1401417016, 1401417136, 1401417256, 1401417376, 1401417496, 1401417616, 1401417736, 1401417856, 1401417976, 1401418096, 1401418216, 1401418336, 1401418456, 1401418576, 1401418696, 1401418816]"
2208310331,C2.5,2022-08-31 03:31:31.771000+00:00,2022-08-31 03:32:27.771000+00:00,2022-08-31 03:31:31.771000+00:00,2022-08-31 03:32:27.771000+00:00,56,100,['G0002'],[1345951816]
2405310614,C2.5,2024-05-31 06:05:24.787000+00:00,2024-05-31 06:27:08.789000+00:00,2024-05-31 06:05:24.787000+00:00,2024-05-31 06:27:08.789000+00:00,1304,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1401170656, 1401170776, 1401170896, 1401171016, 1401171136, 1401171256, 1401171376, 1401171496, 1401171616, 1401171736, 1401171856, 1401171976]"
2406010522,C2.5,2024-06-01 05:17:16.637000+00:00,2024-06-01 05:44:00.640000+00:00,2024-06-01 05:17:16.637000+00:00,2024-06-01 05:44:00.640000+00:00,1604,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1401254176, 1401254296, 1401254416, 1401254536, 1401254656, 1401254776, 1401254896, 1401255016, 1401255136, 1401255256, 1401255376, 1401255496, 1401255616, 1401255736, 1401255856]"
2209240357,C2.2,2022-09-24 03:56:18.101000+00:00,2022-09-24 03:59:46.101000+00:00,2022-09-24 03:56:18.101000+00:00,2022-09-24 03:59:46.101000+00:00,208,100,"['G0002', 'G0002']","[1348026896, 1348027192]"
2209300209,C2.2,2022-09-30 02:07:00.302000+00:00,2022-09-30 02:15:44.303000+00:00,2022-09-30 02:07:00.302000+00:00,2022-09-30 02:15:44.303000+00:00,524,100,"['G0002', 'G0002', 'G0002']","[1348538688, 1348538984, 1348539280]"
2406010558,C2.2,2024-06-01 05:55:00.641000+00:00,2024-06-01 06:01:08.642000+00:00,2024-06-01 05:55:00.641000+00:00,2024-06-01 06:01:08.642000+00:00,368,100,"['G0002', 'G0002', 'G0002', 'G0002']","[1401256456, 1401256576, 1401256696, 1401256816]"
2209290330,C2.0,2022-09-29 03:28:04.158000+00:00,2022-09-29 03:32:56.158000+00:00,2022-09-29 03:28:04.158000+00:00,2022-09-29 03:32:56.158000+00:00,292,100,"['G0002', 'G0002']","[1348457024, 1348457320]"
2209290336,C2.0,2022-09-29 03:34:24.158000+00:00,2022-09-29 03:39:44.159000+00:00,2022-09-29 03:34:24.158000+00:00,2022-09-29 03:39:44.159000+00:00,320,100,"['G0002', 'G0002']","[1348457616, 1348457912]"
2307250336,C2.0,2023-07-25 03:36:08.202000+00:00,2023-07-25 03:36:32.202000+00:00,2023-07-25 03:36:08.202000+00:00,2023-07-25 03:36:32.202000+00:00,24,100,['G0002'],[1374291144]
2209200350,C1.9,2022-09-20 03:43:57.690000+00:00,2022-09-20 04:01:17.692000+00:00,2022-09-20 03:43:57.690000+00:00,2022-09-20 04:01:17.692000+00:00,1040,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1347680408, 1347680704, 1347681000, 1347681296, 1347681592]"
2307250442,C1.7,2023-07-25 04:26:32.207000+00:00,2023-07-25 05:16:12.212000+00:00,2023-07-25 04:26:32.207000+00:00,2023-07-25 05:16:12.212000+00:00,2980,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1374294400, 1374294696, 1374294992, 1374295288, 1374295584, 1374295880, 1374296176, 1374296472, 1374296768, 1374297064, 1374297360]"
2405310559,C1.5,2024-05-31 05:55:04.786000+00:00,2024-05-31 06:03:44.787000+00:00,2024-05-31 05:55:04.786000+00:00,2024-05-31 06:03:44.787000+00:00,520,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1401170056, 1401170176, 1401170296, 1401170416, 1401170536]"
2209210343,C1.4,2022-09-21 03:37:33.742000+00:00,2022-09-21 03:48:29.744000+00:00,2022-09-21 03:37:33.742000+00:00,2022-09-21 03:48:29.744000+00:00,656,100,"['G0002', 'G0002', 'G0002']","[1347766512, 1347766808, 1347767104]"
2209270409,C1.4,2022-09-27 04:05:23.956000+00:00,2022-09-27 04:10:59.957000+00:00,2022-09-27 04:05:23.956000+00:00,2022-09-27 04:10:59.957000+00:00,336,100,"['G0002', 'G0002']","[1348286592, 1348286888]"
2209250141,C1.3,2022-09-25 01:36:10.135000+00:00,2022-09-25 01:51:50.137000+00:00,2022-09-25 01:36:10.135000+00:00,2022-09-25 01:51:50.137000+00:00,940,100,"['G0002', 'G0002', 'G0002', 'G0002']","[1348104912, 1348105208, 1348105504, 1348105800]"
2307250652,C1.3,2023-07-25 06:41:32.221000+00:00,2023-07-25 06:56:28.222000+00:00,2023-07-25 06:41:32.221000+00:00,2023-07-25 06:56:28.222000+00:00,896,100,"['G0002', 'G0002', 'G0002', 'G0002']","[1374302392, 1374302688, 1374302984, 1374303280]"
2209060451,C1.2,2022-09-06 04:15:40.778000+00:00,2022-09-06 05:07:00.784000+00:00,2022-09-06 04:15:40.778000+00:00,2022-09-06 05:07:00.784000+00:00,3080,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1346472856, 1346473096, 1346473336, 1346473576, 1346473816, 1346474056, 1346474296, 1346474536, 1346474776, 1346475016, 1346475256, 1346475496, 1346475736, 1346475976]"
2312300308,C1.2,2023-12-30 03:05:51.350000+00:00,2023-12-30 03:12:35.350000+00:00,2023-12-30 03:05:51.350000+00:00,2023-12-30 03:12:35.350000+00:00,404,100,"['G0002', 'G0002', 'G0002']","[1387940664, 1387940904, 1387941144]"
2209250357,C1.1,2022-09-25 03:55:14.150000+00:00,2022-09-25 04:04:14.151000+00:00,2022-09-25 03:55:14.150000+00:00,2022-09-25 04:04:14.151000+00:00,540,100,"['G0002', 'G0002', 'G0002']","[1348113200, 1348113496, 1348113792]"
2209270156,C1.1,2022-09-27 01:51:32.042000+00:00,2022-09-27 02:06:04.044000+00:00,2022-09-27 01:51:32.042000+00:00,2022-09-27 02:06:04.044000+00:00,872,100,"['G0002', 'G0002', 'G0002', 'G0002']","[1348278600, 1348278896, 1348279192, 1348279488]"
2209280147,C1.1,2022-09-28 01:42:15.996000+00:00,2022-09-28 01:57:35.997000+00:00,2022-09-28 01:42:15.996000+00:00,2022-09-28 01:57:35.997000+00:00,920,100,"['G0002', 'G0002', 'G0002', 'G0002']","[1348364408, 1348364704, 1348365000, 1348365296]"
2209280408,C1.1,2022-09-28 04:08:08.009000+00:00,2022-09-28 04:09:08.009000+00:00,2022-09-28 04:08:08.009000+00:00,2022-09-28 04:09:08.009000+00:00,60,100,['G0002'],[1348373288]
2312300422,C1.1,2023-12-30 04:17:27.257000+00:00,2023-12-30 04:33:15.259000+00:00,2023-12-30 04:17:27.257000+00:00,2023-12-30 04:33:15.259000+00:00,948,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1387944984, 1387945224, 1387945464, 1387945704, 1387945944]"
2209170404,C1.0,2022-09-17 03:57:55.633000+00:00,2022-09-17 04:15:15.635000+00:00,2022-09-17 03:57:55.633000+00:00,2022-09-17 04:15:15.635000+00:00,1040,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1347422096, 1347422392, 1347422688, 1347422984, 1347423280]"
2209270147,C1.0,2022-09-27 01:44:36.041000+00:00,2022-09-27 01:49:48.042000+00:00,2022-09-27 01:44:36.041000+00:00,2022-09-27 01:49:48.042000+00:00,312,100,"['G0002', 'G0002', 'G0002']","[1348278008, 1348278304, 1348278600]"
2209280359,C1.0,2022-09-28 03:58:40.008000+00:00,2022-09-28 04:01:12.008000+00:00,2022-09-28 03:58:40.008000+00:00,2022-09-28 04:01:12.008000+00:00,152,100,['G0002'],[1348372696]
2312300616,C1.0,2023-12-30 06:15:07.270000+00:00,2023-12-30 06:19:55.271000+00:00,2023-12-30 06:15:07.270000+00:00,2023-12-30 06:19:55.271000+00:00,288,100,"['G0002', 'G0002']","[1387951944, 1387952184]"
2209280256,B9.8,2022-09-28 02:55:52.003000+00:00,2022-09-28 02:57:36.003000+00:00,2022-09-28 02:55:52.003000+00:00,2022-09-28 02:57:36.003000+00:00,104,100,['G0002'],[1348368848]
2209270304,B9.7,2022-09-27 03:02:32.050000+00:00,2022-09-27 03:11:00.051000+00:00,2022-09-27 03:02:32.050000+00:00,2022-09-27 03:11:00.051000+00:00,508,100,"['G0002', 'G0002', 'G0002']","[1348282744, 1348283040, 1348283336]"
2209270326,B9.7,2022-09-27 03:23:32.052000+00:00,2022-09-27 03:39:51.954000+00:00,2022-09-27 03:23:32.052000+00:00,2022-09-27 03:39:51.954000+00:00,979,100,"['G0002', 'G0002', 'G0002', 'G0002']","[1348284224, 1348284520, 1348284816, 1348285112]"
2209280353,B9.5,2022-09-28 03:52:20.007000+00:00,2022-09-28 03:54:24.008000+00:00,2022-09-28 03:52:20.007000+00:00,2022-09-28 03:54:24.008000+00:00,124,100,"['G0002', 'G0002']","[1348372104, 1348372400]"
2312300416,B9.5,2023-12-30 04:14:27.257000+00:00,2023-12-30 04:17:19.257000+00:00,2023-12-30 04:14:27.257000+00:00,2023-12-30 04:17:19.257000+00:00,172,100,"['G0002', 'G0002']","[1387944744, 1387944984]"
2209030417,B9.3,2022-09-03 03:49:31.926000+00:00,2022-09-03 04:25:59.930000+00:00,2022-09-03 03:49:31.926000+00:00,2022-09-03 04:25:59.930000+00:00,2188,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1346211904, 1346212200, 1346212496, 1346212792, 1346213088, 1346213384, 1346213680, 1346213976, 1346214272]"
